dzo_to_eng,eng_to_dzo
The hearing also set a deadline for the suspect to respect the right to expedite the trial.,ཉོགས་བཤད་ཅན་གྱི་ཁྲིམས་ཞིབ་མགྱོགས་དྲགས་འབད་ནི་གི་ཐོབ་དབང་གི་དོན་ལུ་ཉོགས་བཤད་ཀྱི་སྙན་གསན་འདི་དུས་ཚེས་ཡང་བརྩི་འཇོག་འབད་ནུག།
"Peter Costello, Astella's treasurer and prime minister John Howard's successor to the Liberal Party chairman, suggested that Astella had backed the Gojin Power Plant.",ཨསི་ཊེ་ལི་ཡ་གི་དངུལ་མཛོད་པ་དང་བློན་ཆེན་ཇཱོན་ཧོ་ཝཌ་གིས་རང་དབང་སྲིད་ཚོགས་འགོ་ཁྲིདཔ་སྦེ་ཤུལ་འཛིན་འབད་ནི་གི་གོ་སྐབས་ཡོད་མི་མི་པི་ཊར་ཀོ་སི་ཊེ་ལོ་གིས་ ཨསི་ཊེ་ལི་ཡ་ལུ་ཨིས་ཊེ་ལི་ཡ་གི་ཨེན་དྲིལ་ཡུ་རེནའུ་གློག་ཤུགས་བཟོ་གྲྭ་གྱི་རྒྱབ་ཁར་ རྒྱབ་སྐྱོར་འདི་བཀོ་བཞག་ནུག།
Costello said that Australia should also use the twin-turbocharger when it's convenient.,ཀོ་སི་ཊེ་ལོ་གིས་ཨིས་ཊེ་ལི་ཡ་གིས་ཨེན་དྲིལ་ཡུ་རེནགློག་ཤུགས་ཐོན་སྐྱེད་འདི་དཔལ་འབྱོར་གྱི་གནས་སྟངས་ནང་གནས་ཚུགས་པའི་སྐབས་འདི་ལག་ལེན་འཐབ་ནི་འགོ་བཙུགས་དགོ་ཟེར་སླབ་ཅི།
"Costello said that if electricity were to become commercially viable, it would be necessary to install it instead of shutting down.",གལ་སྲིད་འདི་ཚོང་འབྲེལ་གྱི་འགྱུར་བ་ཅིན་ ང་བཅས་ཀྱིས་འདི་ཐོབ་དགོ། དེ་ནིའུ་ཀི་ལཱཡམ་ཨན་ཤུགས་ལུ་གཞི་རྩ་གི་ངོ་རྒོལ་མེད་ཟེར་ ཀོ་སི་ཊེ་ལོ་གིས་སླབ་ཅི།
"According to Anas, the police are worried that some high-ranking officials are likely to risk escalating an endless war.",ཨེན་ས་གིས་འབད་བ་ཅིན་ ཁྲིམས་སྲུང་འགག་པ་གིས་ དྲག་ཐེངས་མཐོ་ཤོས་དག་པ་ཅིག་གིས་ ཚ་གྱང་ལང་ནུག་ དེ་ལས་ཁོང་གིས་ཤུལ་འཛིན་གྱི་དམག་འཁྲུག་འདི་ འབྱུང་འོང་ཟེར་འདྲོག་ནུག།
"According to the police, Pico was one of Palermo's main supporters of the Provincial government and was unlikely to be given more respect than his predecessors when he quietly tried to expand the Provincial policy.",ཁྲིམས་སྲུང་འགག་པ་གིས་ལོཔི་ཀོ་ལོ་ལུ་པེ་ལེ་ར་མོ་ལུ་ཁོ་པྲོ་ཝེན་ཛ་ནོ་གི་གཡས་ལག་མི་འབད་ནི་འདི་གིས་ཁེ་ཕན་ཡོདཔ་དང་ཁོང་གི་ཉམས་མྱོང་སྦོམ་གྱིས་ཁོ་འགོ་འཛིན་གྱི་མི་རབས་རྙིངམ་གི་གུས་ཞབས་ཐོབ་ནུག་ ག་ཅི་སྦེ་ཟེར་བ་ཅིན་ཁོང་གིས་པྲོ་ཝེན་ཛ་ནོ་གི་སྲིད་བྱུས་འདི་ཁོང་གི་གློག་ཤུགས་ཡོངས་འབྲེལ་སྒྲིང་སྒྲི་བཟོ་སྟེ་འབད་ཚུགསཔ་ཅིག་མར་བཞག་ནི་གི་འབད་ནུག།
"These leaders also curbed Porvin Zano's actions against the state after Rinzin silenced the war. This time in 1992 interrupted the lives of the gang's activists, Gianni Falcon and Paolo Borcellono.",ཨ་ནཱི་འགོ་དཔོན་ཚུ་ པྲོ་བེན་ཛ་ནོ་གིས་ ཌའི་ནཱ་གིས་རྒྱལ་ཁབ་ལུ་རྒྱབ་འགལ་འབད་མི་དམག་འཁྲུག་འདི་ ཁོ་གིས་སྤྱི་ལོ་༡༩༩༢ ལུ་མ་ཕི་ཡ་གི་དམག་འཐབ་མི་ཇོ་ཝན་ནཱི་ཕལ་ཀཱོན་དང་པཱ་ལོ་བྷོར་སེ་ལིན་ནོ་གི་སྲོག་ལེན་འབད་མི་འདི་བཀག་བཞག་ནུག།
Apple CEO Steve Jobs took the iPhone out of the oven while walking on the trunk.,ཨེཔཱལ་གི་འགོ་འཛིན་འགོ་དཔོན་སི་ཊི་ཝིཕ་ཇོབ་གིས་འཕྲུལ་ཆས་འདི་ལྟེ་བ་གུར་འགྱོ་སྟེ་ཁོ་གི་ཇིནསི་གི་ཕད་ཅུང་ནང་ལས་ཨའི་ཕཱོན་བཏོན་ཏེ་གསར་བཏོན་འབད་ནུག།
"In a 2-hour presentation, he said that Apple has today made a phone that has been completely redesigned and made historic.",ཁོ་གིས་ ཁོ་རའི་ཆུ་ཚོད་ ༢ གི་གསལ་བཤད་ནང་ ད་རིས་ཨེ་པཱལ་གྱིས་བརྒྱུད་འཕྲིན་འདི་ལོག་སྟེ་གསར་བཏོན་འབད་ནི་ཨིན་ ང་བཅས་ད་རིས་མི་རབས་བཟོ་ནི་ཨིན་མས་ཟེར་བཀོད་ནུག།
"Brazil is the largest Roman Catholic country in the world, and the Roman Catholic Church is still opposed to legalizing same-sex marriage in the country.",བཱ་སི་ལི་འདི་འཛམ་གླིང་ནང་ རོམ་ཀཱ་ཐཱཀཱོལ་གྱི་རྒྱལ་ཁབ་སྦོམ་ཤོས་ཅིག་ཨིནམ་དང་ རོམ་ཀཱ་ཐཱཀཱོལ་གྱི་ལྷ་ཁང་གིས་ རྒྱལ་ཁབ་ནང་ལུ་ ཕོ་འདྲ་མཉམ་གྱི་གཉེན་སྦྱོར་འདི་ཁྲིམས་མཐུན་བཟོ་ནི་ལུ་ དུས་རྒྱུན་གྱི་རྒྱབ་འགལ་འབད་ནུག།
The Brazilian National Congress has debated for 10 years to legalize such a relaxed administration system that is only legal in Rio Grande do Sul.,བཱ་སི་ལི་གི་རྒྱལ་ཡོངས་ཚོགས་འདུ་གིས་ཁྲིམས་མཐུན་བཟོ་ནི་གི་གྲོས་བསྡུར་ལོ་ ༡༠ འབད་དེ་ཡོདཔ་དང་ དེ་བཟུམ་མའི་མི་སེར་གྱི་གཉེན་རྐྱབ་ནི་འདི་ད་ལྟོ་ རི་ཡོ་གརཱེན་ཌོ་ས་ལནང་ལུ་རྐྱངམ་གཅིག་ཁྲིམས་མཐུན་ཨིན།
"The original letter was signed by former mayor of São Paulo, Marta Subilis. The proposed legislation has since been extended and is now in the hands of Roberto Jefferson.",ངོ་མ་གི་ཁྲིམས་ཡིག་འདི་ སཱ་ཨོ་པཱ་ལོ་གི་ཁྲོམ་དཔོན་གྱི་ཧེ་མའི་མཱར་ཊ་སུཔི་ལི་སི་གིས་བཟོ་ནུག། གྲོས་འཆར་ཅན་གྱི་ཁྲིམས་ལུགས་འདི་འགྱུར་བཅོས་འབད་བའི་ཤུལ་ལས་ད་རེས་རོ་བཊོ་ཇེ་ཕཱར་སོན་གྱི་ལག་པར་ཡོད།
The protesters hope to collect around 1.2 million signatures for submissions to the National Congress in November.,འགྲེམ་སྟོན་འབད་མི་ཚུ་གིས་ སྤྱི་ཟླ་བཅུ་པའི་ནང་ རྒྱལ་ཡོངས་ཚོགས་འདུ་ལུ་ཕུལ་ནི་གི་བརྡ་ཤོག་ས་ཡ་ ༡.༢ འབག་ནི་གི་རེ་བ་བསྐྱེདཔ་མས།
"A meeting was held on 20 March at the East Bay Community Legal Centre for Victims of Housing Fraud, after it became clear that several families were seeking legal aid to deal with the eviction.",བཟའ་ཚང་ལེ་ཤ་ཅིག་གིས་བཏོན་གཏང་འབད་མི་ཚུ་བཀག་ཐབས་ལུ་ཁྲིམས་དོན་གྱི་ཆ་རོགས་འཚོལ་མི་འདི་གསལ་ཏོག་ཏོ་འགྱོ་ཞིནམ་ལས་ སྤྱི་ཟླ་གསུམ་པའི་སྤྱི་ཚེས་༢༠ ལུ་ཨིས་ཊ་བེ་སྤྱི་ཚོགས་ཁྲིམས་ལུགས་ལྟེ་བ་ནང་ཁྱིམ་མགུ་སྐོར་གྱི་གནོད་སྐྱོན་ཕོག་མི་ཚུ་གི་དོན་ལུ་ཞལ་འཛོམས་ཅིག་འབད་ཡི།
"After the tenants began to exchange views on what had happened to them, many families realized that they had stolen two of the Caroline Wilson's OVA insurance savings accounts and had fled the city.",ཁང་གླ་མི་ཚུ་གིས་ ཁོང་ལུ་ག་ཅི་བྱུང་ཡི་ག་བགོ་བཤའ་རྐྱབ་ནི་འགོ་བཙུགས་པའི་སྐབས་འབྲེལ་གཏོགས་འབད་མི་བཟའ་ཚང་མང་ཤོས་ཅིག་གིས་གློ་བུར་དུ་ ཨོ་ཧཱ་ལས་ཀེ་རོ་ལིན་ཝིལ་སོན་གྱི་ཁོང་རའི་ཉེན་སྲུང་གི་དངུལ་ཕོགས་ཨརཝ་བརྐུ་སྟེ་ཁྲོམ་ལས་འཐོན་འགྱོ་ནུག་ཟེར་ཧ་གོ་ནུག།
"Tenants in a rented house in Udrugaren believe there were at least 40 other families involved in the evictions, and also because they understand that UK public housing is under investigation by the OHA police to see if it's involved in the housing scam.",ལོཀ་ཝུཌ་ལྡུམ་ར་ནང་སྡོད་མི་ཁང་གླ་མི་ཚུ་གིས་ ཁྱིམ་བཏོན་འབད་དགོ་པའི་བཟའ་ཚང་གཞན་༤༠ དང་དེ་ལས་ལྷག་སྟེ་སྡོད་འོང་ཟེར་མནོ་ཡོདཔ་ལས་ ཁོང་གིས་ ཨོ་ཧཱ་ཁྲིམས་སྲུང་འགག་པ་གིས་ ཨོ་ཀཱེན་ཌ་ལུ་ཡོད་པའི་ཁྱིམ་གྱི་གཡོ་སྒྱུ་ནང་ཚུད་འོང་ནི་བཟུམ་ཡོད་མི་ མི་མང་གི་ཁྱིམ་གྱི་རྒྱུ་དངོས་གཞན་ཚུ་ཡང་ཞིབ་དཔྱད་འབད་དོ་ཡོདཔ་ཤེས་ནུག།
"The band cancelled the concert at the Mao War Memorial, which was supposed to attract about 9,000 people, and offered a standing ovation to the crowd.",གློག་སྡེ་ཚན་གྱིས་ མི་སྟོང་ཕྲག་༩༠༠༠ གིས་ བཅའ་མར་གཏོགས་ནི་ཨིནམ་ལས་ མའུ་ཡི་གི་དམག་དྲན་རྩེད་ཐང་ནང་ཡོད་པའི་སྟོན་འདི་ ཆ་མེད་བཏང་སྟེ་ ཞབས་ཁྲ་པ་ཚུ་ལུ་བཟོད་གསོལ་ཞུ་ནུག།
"The orchestra's management team, the AVK Management, was applauded for not making any sense of the event when it was first canceled on 20 September, but for not being able to organize it as soon as the next day.",གློག་བརྙན་སྡེ་ཚན་གྱི་འཛིན་སྐྱོང་ལས་སྡེ་ཧཀ་འཛིན་སྐྱོང་ལས་སྡེ་གིས་སྤྱི་ཟླ་དགུ་པའི་སྤྱི་ཚེས་༢༠ ལུ་ཕྱིར་བཏོན་འབད་བའི་སྐབས་འགོ་ཐོག་གི་རྒྱུ་མཚན་མ་བྱིན་ དེ་འབདཝ་ད་ཤུལ་མའི་ཉིནམ་ལུ་ཅ་ཆས་ཀྱི་རྒྱུ་མཚན་ལུ་ཉེས་ཁ་བཀལ་ནུག།
"The famous Greek lawyers, Sassik Keidung Losso and Georgini Kolkopoles, were imprisoned in the prison of Athens in Corinth for their alleged misconduct and fraud.",གིརིག་གི་ཁྲིམས་རྩོདཔ་ཡོངས་གྲགས་ཅན་གྱི་ སཱ་ཀིསི་ཀེ་ཀ་ཇི་ཨོགལུདང་ཇོ་རེཇ་ ནེ་ཀོ་ལ་ཀོ་པོ་ལོས་འདི་ཨཱ་ཐེན་གྱི་ཀོར་ཌལ་སི་གི་བཙོན་ཁང་ནང་བཙོན་ཁང་ནང་བཙུགས་ནུག། ག་ཅི་སྦེ་ཟེར་བ་ཅིན་ཁོང་ཚུ་གཡོ་སྒྱུ་དང་ངན་འགྲེལ་གྱི་ཉེས་ཅན་སྦེ་མཐོང་ནུག།
